logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua do Jequitibá,,Pitimbu,Natal,RN,59067-680,-35.2243526,-5.8702027
Rua do João Redondo,,Lagoa Azul,Natal,RN,59139-060,-35.263475299999996,-5.7308746
Rua do Juazeiro,,Potengi,Natal,RN,59120-520,-35.237579100000005,-5.756908999999999
Rua do Jucá,,Lagoa Azul,Natal,RN,59135-210,-35.253009399999996,-5.7346335999999996
Rua do Juá,,Lagoa Azul,Natal,RN,59135-220,-35.2524273,-5.7346242
Rua do Lima,,Cidade da Esperança,Natal,RN,59070-220,-35.236275,-5.8209142
Rua do Limoeiro,,Potengi,Natal,RN,59120-500,-35.2385713,-5.757221599999999
Rua do Loureiro,,Pitimbu,Natal,RN,59067-700,-35.2242453,-5.8718019
Rua do Lítio,,Lagoa Nova,Natal,RN,59076-370,-35.2033646,-5.8308826
Rua do Malhado,,Pajuçara,Natal,RN,59132-300,-35.2349876,-5.7293947
Rua do Mamulengo,,Lagoa Azul,Natal,RN,59139-080,-35.2620591,-5.7312242
Rua do Marmeleiro,,Pitimbu,Natal,RN,59067-570,-35.2277813,-5.867813900000001
Rua do Maruim,,Redinha,Natal,RN,59122-010,-35.20725827715793,-5.75847835
Rua do Massapê,,Lagoa Nova,Natal,RN,59076-380,-35.2042432,-5.829931299999999
Rua do Melaço,,Lagoa Azul,Natal,RN,59138-780,-35.2659497,-5.7323638
Rua do Melro,,Pitimbu,Natal,RN,59068-010,-35.2359089,-5.8657165
Rua do Mercúrio,,Lagoa Nova,Natal,RN,59076-620,-35.2096009,-5.831664099999999
Rua do Mero,,Pajuçara,Natal,RN,59132-410,-35.2375732,-5.7358799000000005
Rua do Misticismo,,Lagoa Azul,Natal,RN,59135-020,-35.2591382,-5.7351166
Rua do Motor,,Praia do Meio,Natal,RN,59010-090,-35.1932739,-5.782551
Rua do Mármore,,Lagoa Nova,Natal,RN,59076-170,-35.2076506,-5.8278153
Rua do Norte,,Nordeste,Natal,RN,59042-240,-35.24250479999999,-5.7999322
Rua do Níquel,,Lagoa Nova,Natal,RN,59076-330,-35.202712899999995,-5.8298835
Rua do Ouro,,Lagoa Nova,Natal,RN,59076-580,-35.20757879999999,-5.832097900000001
Rua do Ouvidor,,Quintas,Natal,RN,59050-100,-35.236363399999995,-5.8054583
