cep,udh
59060-360,1240810200041
59065-250,1240810200021
59074-605,1240810200048
59069-470,1240810200017
59632-208,
59104-310,1240810200056
59025-520,1240810200035
59293-489,1241200500016
59056-310,1240810200020
59108-500,1240810200053
59110-660,1240810200053
59062-030,1240810200046
59070-300,1240810200041
59146-800,1240325100023
59143-220,1240325100032
59030-150,1240810200031
59104-190,1240810200053
59124-310,1240810200053
59120-410,1240810200053
59072-771,1240810200049
59135-760,1240810200059
59138-620,1240810200059
59067-590,1240810200019
59297-111,1241200500001
59148-673,1240325100012
59072-390,1240810200049
59072-410,1240810200049
59129-710,1240810200059
59114-744,1240810200005
59074-100,1240810200049
59054-790,1240810200020
59133-347,1240810200059
59060-270,1240810200046
59114-240,1240810200056
59141-600,1240325100029
59025-040,1240810200035
59168-000,
59155-630,1240325100018
59114-035,1240810200053
59133-303,1240810200059
59035-290,1240810200045
59640-244,
59149-376,1240325100014
59069-210,1240810200017
59139-220,1240810200059
59141-070,1240325100031
59133-640,1240810200058
59035-540,1240810200045
59073-220,1240810200048
59054-360,1240810200020
59123-410,1240810200008
59025-750,1240810200023
59025-450,1240810200023
59607-390,
59131-210,1240810200059
59090-313,1240810200011
59082-470,1240810200013
59621-470,
59060-090,1240810200046
59060-060,1240810200046
59091-160,1240810200016
59114-220,1240810200005
59035-500,1240810200031
59010-330,1240810200030
59062-280,1240810200022
59035-100,1240810200045
59060-450,1240810200041
59035-020,1240810200045
59060-150,1240810200046
59062-610,1240810200022
59120-240,1240810200053
59156-990,1240325100005
59014-530,1240810200001
59010-080,1240810200030
59042-230,1240810200045
59042-240,1240810200045
59125-340,1240810200059
59062-000,1240810200041
59054-160,1240810200041
59633-130,
59604-310,
59050-030,1240810200045
59074-135,1240810200049
59066-320,1240810200019
59129-690,1240810200059
59094-230,1240810200013
59086-360,1240810200019
59150-370,1240325100021
59080-060,1240810200019
59151-400,1240325100021
59600-300,
59054-480,1240810200020
59141-080,1240325100031
59075-440,1240810200020
59605-140,
59056-230,1240810200020
59042-150,1240810200045
59042-600,1240810200060
59155-535,1240325100018
59631-387,
59067-300,1240810200019
59086-210,1240810200016
84996-341,
59070-060,1240810200041
59139-430,1240810200004
59115-667,1240810200005
59614-140,
59120-570,1240810200053
59032-550,1240810200025
59633-350,
59125-530,
59014-590,1240810200001
59129-750,1240810200006
59015-380,1240810200001
59610-110,
59293-336,1241200500017
59136-180,1240810200004
59145-490,1240325100025
59296-253,1241200500008
59141-140,1240325100031
59073-270,1240810200042
59628-795,
59213-000,
59626-590,
59010-110,1240810200030
59073-170,1240810200042
59607-225,
59296-826,1241200500012
59074-525,1240810200043
59075-810,1240810200020
59148-260,1240325100012
59112-330,1240810200053
59031-800,1240810200031
59631-030,
59315-356,
59625-085,
59084-270,1240810200016
59074-183,1240810200042
59152-645,1240325100021
59014-060,1240810200003
59880-000,
59621-010,
59037-800,1240810200024
59138-460,1240810200059
59110-270,1240810200053
59625-506,
59625-710,
59628-630,
59074-190,1240810200049
59088-080,1240810200016
59052-800,1240810200041
59101-064,1240325100021
59147-080,1240325100017
59132-740,1240810200059
59014-230,1240810200002
59090-273,1240810200013
59149-363,1240325100014
59064-480,1240810200022
59631-070,
59628-643,
59155-475,1240325100015
59114-052,1240810200055
59153-155,1240325100016
59080-270,1240810200019
59070-720,1240810200041
59160-730,1240325100027
59072-800,1240810200041
59020-660,1240810200001
59141-030,1240325100031
59020-340,1240810200032
59010-720,1240810200033
59607-214,
59135-000,1240810200059
59115-597,1240810200005
59066-450,1240810200022
59014-335,1240810200002
59149-203,1240325100024
59122-080,1240810200058
59054-145,1240810200041
59635-090,
59052-465,1240810200051
59070-250,1240810200041
59070-560,1240810200041
59114-115,1240810200056
59129-790,1240810200059
59070-240,1240810200041
59068-230,1240810200017
59073-158,1240810200042
59062-570,1240810200020
59123-500,1240810200008
59062-725,1240810200046
59010-340,1240810200030
59037-140,1240810200045
59600-329,
59100-032,
59162-195,
59148-480,1240325100012
59678-000,
59607-228,
59074-747,1240810200048
59141-750,1240325100029
59125-104,1240810200053
59152-100,1240325100008
59010-270,1240810200030
59072-180,1240810200049
59088-730,1240810200016
59072-890,1240810200041
59628-670,
59115-270,1240810200055
59149-406,1240325100028
59110-290,1240810200053
59015-100,1240810200001
59082-200,1240810200013
59080-340,1240810200019
